65,3,Syria,2014-8-22,yes,F,part-time,notes,sometimes,spanish,university,humanities,all the time
24,0,Syria,2016-2-14,not sure,M,full-time,notes,frequently,arabic,not sure,engineering,all the time
84,3,Syria,2008-4-8,yes,F,tenure,notes,sometimes,arabic,university,computer science,frequently
73,3,Syria,2008-10-16,yes,F,part-time,notes,never,english,society,computer science,frequently
81,1,Syria,2008-5-2,yes,F,adjunct,notes,sometimes,spanish,university,social science,sometimes
21,1,Syria,2009-5-15,not sure,M,full-time,notes,all the time,spanish,university,social science,never
15,0,Syria,2017-6-20,no,M,adjunct,notes,never,spanish,not sure,engineering,frequently
23,2,Syria,2009-9-8,yes,M,part-time,notes,sometimes,french,home country government,humanities,sometimes
68,0,Syria,2018-2-6,not sure,M,part-time,notes,frequently,arabic,professional peers,humanities,frequently
74,3,Syria,2008-11-20,not sure,F,tenure,notes,sometimes,english,university,humanities,sometimes
66,3,Syria,2012-3-19,no,F,adjunct,notes,never,french,home country government,social science,never
70,1,Syria,2005-11-8,no,F,part-time,notes,frequently,arabic,professional peers,social science,never
87,2,Syria,2019-12-4,yes,F,full-time,notes,never,english,not sure,engineering,all the time
37,2,Syria,2008-3-30,not sure,F,tenure,notes,all the time,english,society,social science,frequently
17,3,Syria,2007-8-22,yes,M,adjunct,notes,never,french,home country government,natural sciences,never
57,1,Syria,2010-8-27,yes,F,adjunct,notes,never,arabic,university,humanities,never
73,3,Syria,2012-4-22,not sure,F,tenure,notes,never,spanish,society,engineering,never
17,1,Syria,2012-4-13,no,F,tenure,notes,never,arabic,society,natural sciences,frequently
18,2,Syria,2012-10-10,no,F,tenure,notes,all the time,english,home country government,humanities,sometimes
85,0,Syria,2018-7-23,yes,M,part-time,notes,frequently,spanish,professional peers,natural sciences,frequently
82,2,Syria,2015-5-23,no,M,tenure,notes,frequently,arabic,university,social science,frequently
66,3,Syria,2017-2-12,not sure,M,part-time,notes,never,english,not sure,engineering,never
68,2,Syria,2007-3-4,not sure,M,adjunct,notes,frequently,arabic,professional peers,humanities,never
59,1,Syria,2010-2-18,not sure,F,full-time,notes,all the time,spanish,university,social science,sometimes
